Migration.Route,Year,incidents,dead,missing,total_dead_missing,arrivals,total_attempted,mortality
Central Mediterranean,2014,55,672,2493,3165,170668,173833,18.207129831505
Central Mediterranean,2015,63,1563,1587,3150,153947,157097,20.0513058810798
Central Mediterranean,2016,140,1129,3453,4582,181436,186018,24.6320248578095
Central Mediterranean,2017,167,797,2058,2855,119369,122224,23.3587511454379
Central Mediterranean,2018,68,296,1026,1322,24815,26137,50.5796380609864
Central Mediterranean,2019,38,229,463,692,13303,13995,49.4462307967131
Eastern Mediterranean,2014,5,23,36,59,41038,41097,1.43562790471324
Eastern Mediterranean,2015,133,572,233,805,856723,857528,0.938744857310782
Eastern Mediterranean,2016,53,329,105,434,173781,174215,2.49117469793072
Eastern Mediterranean,2017,23,63,14,77,30829,30906,2.49142561314955
Eastern Mediterranean,2018,38,143,71,214,51274,51488,4.15630826600373
Eastern Mediterranean,2019,33,72,18,90,63373,63463,1.41814915777697
Western Mediterranean,2014,5,30,29,59,12037,12096,4.8776455026455
Western Mediterranean,2015,18,43,59,102,16936,17038,5.98661814766992
Western Mediterranean,2016,25,28,101,129,14605,14734,8.75525994298901
Western Mediterranean,2017,64,93,131,224,28376,28600,7.83216783216783
Western Mediterranean,2018,123,329,482,811,65383,66194,12.2518657280116
Western Mediterranean,2019,68,90,234,324,27877,28201,11.488954292401
